IDSKK,kd_lok_krj,shiftkrj,JAT,JST,tglinput,Area
92,,SHIFT 3 SECURITY KF,23:59,08:00,2024-07-17 16:03:12,ALL
93,,SHIFT 2 SECURITY KF,16:00,00:00,2024-07-17 16:03:35,ALL
94,,SHIFT 1 SECURITY KF,08:00,16:00,2024-07-17 16:04:07,ALL
95,03,MOJOKERTO SHIFT 3 SABTU,18:00,23:00,2024-07-19 09:15:39,SF
96,01,NGORO SHIFT 3 SABTU,23:59,06:00,2024-10-11 15:01:21,SO
97,01,NGORO SHIFT 2 SABTU,16:00,22:00,2024-10-11 15:03:01,SO
98,03,SIFT 1 KHUSUS MINGGU,10:00,14:00,2024-12-04 14:15:47,SF
99,03,SOLO SIFT 1,07:00,15:00,2025-01-21 14:05:44,SF
100,03,SOLO SIFT 2,15:00,23:00,2025-01-21 14:06:01,SF
101,03,SOLO SIFT 3,23:00,07:00,2025-01-21 14:06:14,SF
102,03,SOLO SIFT 1 SABTU,07:00,12:00,2025-01-30 14:59:28,SF
103,03,SOLO SIFT 2 SABTU,12:00,17:00,2025-01-30 15:00:41,SF
104,03,SOLO SIFT 3 SABTU,17:00,22:00,2025-01-30 15:00:59,SF
105,01,MAINTENANCE SIFT 2 SABTU,16:00,22:00,2025-02-18 09:54:27,SO
106,03,SIFT SIANG MINGGU SF,12:00,20:00,2025-09-09 10:19:44,SF
107,03,SIFT 2 MINGGU SF,12:00,20:00,2025-09-09 10:21:28,SF
108,03,SHIFT 3 KHUSUS,20:00,04:00,2025-09-13 13:11:54,SF
109,03,FORMING SIFT 3 SABTU,20:00,01:00,2025-09-27 10:05:53,SF
110,03,SHIFT 2 KHUSUS SF,12:00,18:00,2025-10-13 13:51:18,SF
111,03,A SHIFT 3 (18-02),18:00,02:00,2026-07-30 10:41:34,SF
112,03,A SHIFT 1 (07-15),07:00,15:00,2026-07-30 10:49:50,SF
113,03,A SHIFT 2 (16-00),16:00,00:00,2026-07-30 10:57:41,SF
114,03,A SHIFT 3 (00-08),23:59,08:00,2026-07-30 10:58:48,SF
115,03,A SHIFT 2 (15-23),15:00,23:00,2026-07-30 11:25:20,SF
116,03,A SHIFT 1-S (07-12),07:00,12:00,2026-07-30 14:29:52,SF
117,03,A SHIFT 1-S (08-13),08:00,13:00,2026-07-30 14:30:13,SF
118,03,A SHIFT 2-S (13-18),13:00,18:00,2026-07-30 14:30:37,SF
119,03,A SHIFT 2-S (15-20),15:00,20:00,2026-07-30 14:30:47,SF
120,03,A SHIFT 2-S (16-21),16:00,21:00,2026-07-30 14:30:59,SF
121,03,A SHIFT 2-S (18-23),18:00,23:00,2026-07-30 14:31:18,SF
122,03,A SHIFT 1 (08-16),08:00,16:00,2026-07-30 15:23:47,SF
123,03,A SHIFT 3-S (00-06),23:59,06:00,2026-07-31 09:11:15,SF
124,03,A SHIFT 3-S (18-23),18:00,23:00,2026-07-31 09:11:42,SF
125,03,A SHIFT 3 (23-07),23:00,07:00,2026-07-31 11:10:48,SF
126,03,LEMBUR 15-18,15:00,18:00,2026-08-05 15:40:25,SF
127,03,SABTU 09 - 15,09:00,15:00,2026-08-05 16:26:02,SF
128,03,SABTU 09 - 14,09:00,14:00,2026-08-05 16:29:28,SF
129,03,A SHIFT 3-S (00-05),23:59,05:00,2026-08-10 09:41:58,SF
130,03,A SHIFT 3 (21-05),21:00,05:00,2026-08-10 11:20:30,SF
131,03,A SHIFT 2 (13-21),13:00,21:00,2026-08-12 09:50:54,SF
132,03,A SHIFT 3 (20-04),20:00,04:00,2026-08-13 09:15:32,SF
133,03,A SHIFT 1 (09-17),09:00,17:00,2026-08-14 13:26:47,SF
134,03,A SHIFT 1-M (10-18),10:00,18:00,2026-08-19 10:40:38,SF
135,03,A SHIFT 1-M (06-08),06:00,08:00,2026-08-20 13:34:28,SF
136,03,A SHIFT 3 (19-03),19:00,03:00,2026-08-21 16:13:30,SF
137,03,A SHIFT 2-M (16-20),16:00,20:00,2026-08-24 18:14:05,SF
138,03,A SHIFT 2-S (12-17),12:00,17:00,2026-08-25 09:32:57,SF
139,03,A SHIFT 1-L (08-14),08:00,14:00,2026-08-29 11:09:35,SF
